[ 2026-09-23 21:05:40,326] 16 root - INFO - Initiate Data Ingestion
[ 2026-09-23 21:05:44,802] 66 root - INFO - Performed Train test split on DataFrame
[ 2026-09-23 21:05:44,803] 67 root - INFO - Existed split_data_as_train_test method of data_Ingestion class
[ 2026-09-23 21:05:44,803] 72 root - INFO - Exporting Train and Test file path
[ 2026-09-23 21:05:44,857] 80 root - INFO - Exported Train and Test file path
[ 2026-09-23 21:05:44,857] 18 root - INFO - Data Initation is Completed.
[ 2026-09-23 21:05:44,863] 22 root - INFO - Initiate Data Validation
[ 2026-09-23 21:05:44,949] 32 root - INFO - Required Number of columns: 2
[ 2026-09-23 21:05:44,953] 33 root - INFO - Dataframe has Columns: 31
[ 2026-09-23 21:05:44,953] 32 root - INFO - Required Number of columns: 2
[ 2026-09-23 21:05:44,953] 33 root - INFO - Dataframe has Columns: 31
[ 2026-09-23 21:05:45,122] 24 root - INFO - Data Validation Completed.
[ 2026-09-23 21:05:45,124] 27 root - INFO - Data Transformation Started.
[ 2026-09-23 21:05:45,124] 65 root - INFO - Entered the initiate_data_transfoirmation method of DataTransformation class
[ 2026-09-23 21:05:45,124] 67 root - INFO - Starting Data Transformation
[ 2026-09-23 21:05:45,150] 48 root - INFO - Entered Get_data_transformer_obeject method of transformation class 
[ 2026-09-23 21:05:45,150] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-23 21:05:45,166] 48 root - INFO - Entered the Save Object Method of mainutils class
[ 2026-09-23 21:05:45,169] 52 root - INFO - Existed the Save_object Method of MainUtils class
[ 2026-09-23 21:05:45,169] 31 root - INFO - Data Transformation is completed
[ 2026-09-23 21:05:45,170] 33 root - INFO - Model Training Started
[ 2026-09-23 21:08:12,926] 48 root - INFO - Entered the Save Object Method of mainutils class
[ 2026-09-23 21:08:12,927] 52 root - INFO - Existed the Save_object Method of MainUtils class
[ 2026-09-23 21:08:12,927] 139 root - INFO - Model Trainner Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\09_23_26_21_05_36\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricsArtifact(f1_score=0.9940071913703555, precision_score=0.9896579156722355, recall_score=0.9983948635634029), test_metric_artifact=ClassificationMetricsArtifact(f1_score=0.9940071913703555, precision_score=0.9896579156722355, recall_score=0.9983948635634029))
[ 2026-09-23 21:08:12,929] 38 root - INFO - Model Training Artifact Created
